angle_deg,openmm_torsion_restrained_k1.0_energy_kcal_mol,openmm_torsion_atoms_frozen_k1.0_energy_kcal_mol,openmm_torsion_restrained_k1.0_actual_dihedral_deg,openmm_torsion_atoms_frozen_k1.0_actual_dihedral_deg
-180.0,-28.690178298596056,-28.15396824962668,180.00,179.98
-165.0,-28.57653185326815,-27.87729324546077,165.00,164.98
-150.0,-27.705969109976976,-26.80499812017354,150.00,149.98
-135.0,-26.025939285843094,-24.938506854416314,135.00,134.98
-120.0,-23.739992683557187,-22.49707035611718,120.01,119.98
-105.0,-21.149847454396507,-19.800279174868326,105.01,104.98
-90.0,-21.704579608392937,-20.321599819800774,90.00,89.98
-75.0,-23.591302250356176,-22.407356121110663,75.00,74.98
-60.0,-25.466119467085512,-24.479317823341464,60.00,59.98
-45.0,-27.069329053016887,-26.26742531289119,45.00,44.98
-30.0,-28.176729957889965,-27.525786713323555,30.00,29.98
-15.0,-28.66302503510753,-28.10312991180367,15.00,14.98
0.0,-28.690212675995273,-28.123326928669183,0.00,-0.02
15.0,-28.66307636690971,-28.102418796959128,-15.00,-15.02
30.0,-28.17670531901542,-27.52292401326352,-30.00,-30.02
45.0,-27.069199872466587,-26.26271128739309,-45.00,-45.02
60.0,-25.465941662847346,-24.474947863943804,-60.00,-60.02
75.0,-23.59101507762194,-22.401749411472096,-75.00,-75.02
90.0,-21.70508635195375,-20.31528480244995,-90.00,-90.02
105.0,-21.149816412393164,-19.80852980010414,-105.01,-105.02
120.0,-23.740179222332454,-22.505126699377787,-120.01,-120.02
135.0,-26.025970636611387,-24.945284909831717,-135.00,-135.02
150.0,-27.705978451324988,-26.809636708189565,-150.00,-150.02
165.0,-28.576453093467187,-27.87941345724695,-165.00,-165.02
