Index,Element,Functional Group,SMARTS,Hybridization,Geometry
1,Sulfur,Dialkylthioether,[#6X4:1]-[#16X2:2]-[#6X4:3],sp3,Bent
2,Sulfur,Alkylarylthioether,[#6a:1]-[#16X2:2]-[#6X4:3],sp3,Bent
3,Sulfur,Diarylthioether,[#6a:1]-[#16X2:2]-[#6a:3],sp3,Bent
4,Sulfur,Alkylthiol,[#16X2H1:1]-[#6X4:2],sp3,Bent
5,Sulfur,Arylthiol,[#16X2H1:1]-[#6a:2],sp3,Bent
6,Sulfur,Disulfide,[#16X2:1]-[#16X2:2],sp3,Bent
7,Sulfur,Thioaldehyde,[#6X3H1:1]=[#16X1:2],sp2,Trigonal Planar (at C)
8,Sulfur,Thioketone,[#6X3:1](=[#16X1:2])-[#6X3:3],sp2,Trigonal Planar (at C)
9,Sulfur,Thioacetal,[#16X2:1]-[#6X4:2]-[#16X2:3],sp3,Bent (at S)
10,Sulfur,Thiohemiacetal,[#16X2:1]-[#6X4:2]-[#8X2H1:3],sp3,Bent (at S)
11,Sulfur,Halogen Acetal-like,"[#16X2:1]-[#6X4:2]-[#9,#17,#35,#53:3]",sp3,Bent (at S)
12,Sulfur,Acetal-like,"[#16X2:1]-[#6X4:2]-[#8X2,#16X2:3]",sp3,Bent (at S)
13,Sulfur,Thioenol,[#16X2H1:1]-[#6X3:2]=[#6X3:3],sp3 (S) / sp2 (C),Bent (at S)
14,Sulfur,Thioenolether,[#16X2:1]-[#6X3:2]=[#6X3:3],sp3 (S) / sp2 (C),Bent (at S)
15,Sulfur,Carbothioic S-acid,"[#6X3:1](=[#8X1:2])-[#16X2H1,#16X1-1:3]",sp2,Trigonal Planar
16,Sulfur,Carbothioic O-acid,[#6X3:1](=[#16X1:2])-[#8X2H1:3],sp2,Trigonal Planar
17,Sulfur,Carbothioic S ester,[#6X3:1](=[#8X1:2])-[#16X2:3]-[#6X4:4],sp2,Trigonal Planar
18,Sulfur,Carbothioic O ester,[#6X3:1](=[#16X1:2])-[#8X2:3]-[#6X4:4],sp2,Trigonal Planar
19,Sulfur,Carbothioic O lactone,[#6:1]-[#6X3:2](=[#16X1:3])-[#8X2:4]-[#6:5],sp2,Trigonal Planar
20,Sulfur,Carbothioic halide,"[#6X3:1](=[#16X1:2])-[#9,#17,#35,#53:3]",sp2,Trigonal Planar
21,Sulfur,Carbodithioic acid,[#6X3:1](=[#16X1:2])-[#16X2H1:3],sp2,Trigonal Planar
22,Sulfur,Carbodithioic ester,[#6X3:1](=[#16X1:2])-[#16X2:3]-[#6X4:4],sp2,Trigonal Planar
23,Sulfur,Carbodithiolactone,[#6:1]-[#6X3:2](=[#16X1:3])-[#16X2:4]-[#6:5],sp2,Trigonal Planar
24,Sulfur,Thioamide,[#6X3:1](=[#16X1:2])-[#7X3:3],sp2,Trigonal Planar
25,Sulfur,Thiolactam,[#6:1]-[#6X3r:2](=[#16X1:3])-[#7X3r:4],sp2,Trigonal Planar
26,Sulfur,Imidothioacid,[#6X3:1](=[#7X2:2])-[#16X2H1:3],sp2,Trigonal Planar
27,Sulfur,Imidothioacid cyclic,"[#6:1]-[#6X3:2](=[#7X2:3])-[#16X2H1,#16X1-1:4]",sp2,Trigonal Planar
28,Sulfur,Imidothioester,[#6X3:1](=[#7X2:2])-[#16X2:3]-[#6X4:4],sp2,Trigonal Planar
29,Sulfur,Imidothiolactone,[#6:1]-[#6X3:2](=[#7X2:3])-[#16X2:4]-[#6X4:5],sp2,Trigonal Planar
30,Sulfur,Thiocarbonic acid diester,[#6X4:1]-[#8X2:2]-[#6X3:3](=[#16X1:4])-[#8X2:5]-[#6X4:6],sp2,Trigonal Planar
31,Sulfur,Thiocarbonic acid halide,"[#6X4:1]-[#8X2:2]-[#6X3:3](=[#16X1:4])-[#8X2:5]-[#9,#17,#35,#53:6]",sp2,Trigonal Planar
32,Sulfur,Thiourea,[#7X3:1]-[#6X3:2](=[#16X1:3])-[#7X3:4],sp2,Trigonal Planar
33,Sulfur,Isothiourea,[#7X2:1]=[#6X3:2]([#16X2:3])-[#7X3:4],sp2,Trigonal Planar
34,Sulfur,Thiosemicarbazide,[#7X3:1]-[#7X3:2]-[#6X3:3]([#7X3:4])=[#16X1:5],sp2,Trigonal Planar
35,Sulfur,Thiocarbazide,[#7X3:1]-[#7X3:2]-[#6X3:3](=[#16X1:4])-[#7X3:5]-[#7X3:6],sp2,Trigonal Planar
36,Sulfur,Thiosemicarbazone,[#7X2:1](=[#6X3:2])-[#7X3:3]-[#6X3:4]([#7X3:5])=[#16X1:6],sp2,Trigonal Planar
37,Sulfur,Thiocarbazone,[#7X2:1]=[#7X2:2]-[#6X3:3](=[#16X1:4])-[#7X3:5]-[#7X3:6],sp2,Trigonal Planar
38,Sulfur,Isothiocyanate,[#7X2:1]=[#6X2:2]=[#16X1:3],sp,Linear
39,Sulfur,Thiocyanate,[#16X2:1]-[#6X2:2]#[#7X1:3],sp3 (S) / sp (C),Bent (at S)
40,Sulfur,Thionitrite,[#16X2:1]-[#7X2:2]=[#8X1:3],sp3 (S) / sp2 (N),Bent
41,Sulfur,Sulfenic acid,[#16X2:1]-[#8X2H1:2],sp3,Bent
42,Sulfur,Sulfinic acid,"[#16X3:1](=[#8X1:2])-[#8X2H1,#8X1-1:3]",sp3,Trigonal Pyramidal
43,Sulfur,Sulfonic acid,"[#16X4:1](=[#8X1:2])(=[#8X1:3])-[#8X2H1,#8X1-1:4]",sp3,Tetrahedral
44,Sulfur,Sulfenamide,[#6:1]-[#16X2:2]-[#7X3:3],sp3,Bent (at S)
45,Sulfur,Sulfinamide,[#6:1]-[#16X3:2](=[#8X1:3])-[#7X3:4],sp3,Trigonal Pyramidal
46,Sulfur,Sulfonamide,[#16X4:1](=[#8X1:2])(=[#8X1:3])-[#7X3:4],sp3,Tetrahedral
47,Sulfur,Sulfuric monoester,"[#16X4:1](=[#8X1:2])(=[#8X1:3])([#8X2H1,#8X1-1:4])-[#8X2:5]",sp3,Tetrahedral
48,Sulfur,Sulfuric diester,[#16X4:1](=[#8X1:2])(=[#8X1:3])([#8:4])([#8:5]),sp3,Tetrahedral
49,Sulfur,Sulfuric monoamide,"[#16X4:1](=[#8X1:2])(=[#8X1:3])([#7X3:4])([#8X2H1,#8X1-1:5])",sp3,Tetrahedral
50,Sulfur,Sulfuric diamide,[#16X4:1](=[#8X1:2])(=[#8X1:3])([#7X3:4])([#7X3:5]),sp3,Tetrahedral
